项梁	楚王上柱国	根骨型破枪宗师II	力断兜鍪 Lv.15	获胜奖励	374 +113	积分	2771	卸武
斩首兵	斩首兵	纯身法刺匕大师II	灵蛇吐信 Lv.6	获胜奖励	30 +9	积分	2772	
斩首兵	斩首兵	纯身法刺匕大师II	灵蛇吐信 Lv.5	获胜奖励	30 +9	积分	2773	
斩首兵	斩首兵	纯身法刺匕大师II	断水捞月 Lv.5	获胜奖励	30 +9	积分	2774	
斩首兵	斩首兵	纯身法刺匕大师II	断水捞月 Lv.4	获胜奖励	30 +9	积分	2775	
斩首兵	斩首兵	纯身法刺匕大师II	攻心寸结 Lv.6	获胜奖励	30 +9	积分	2776	
斩首兵	斩首兵	纯身法刺匕大师II	攻心寸结 Lv.5	获胜奖励	30 +9	积分	2777	
斩首兵	斩首兵	纯身法刺匕大师II	灵蛇吐信 Lv.6	获胜奖励	30 +9	积分	2778	
斩首兵	斩首兵	纯身法刺匕大师II	灵蛇吐信 Lv.5	获胜奖励	30 +9	积分	2779	
斩首兵	斩首兵	纯身法刺匕大师II	断水捞月 Lv.5	获胜奖励	30 +9	积分	2780	
斩首兵	斩首兵	纯身法刺匕大师II	断水捞月 Lv.4	获胜奖励	30 +9	积分	2781	
斩首兵	斩首兵	纯身法刺匕大师II	攻心寸结 Lv.6	获胜奖励	30 +9	积分	2782	
斩首兵	斩首兵	纯身法刺匕大师II	攻心寸结 Lv.5	获胜奖励	30 +9	积分	2783	
宋义	楚国上将军	防御型防枪宗师I	雪絮飞痕 Lv.15	获胜奖励	352 +106	积分	2784	卸武
仁义之师	仁义之师	防御型防枪大师III	碧海连云 Lv.10	获胜奖励	30 +9	积分	2785	
仁义之师	仁义之师	防御型防枪大师III	碧海连云 Lv.8	获胜奖励	30 +9	积分	2786	
仁义之师	仁义之师	防御型防枪大师III	拔山盖世 Lv.8	获胜奖励	30 +9	积分	2787	
仁义之师	仁义之师	防御型防枪大师III	拔山盖世 Lv.6	获胜奖励	30 +9	积分	2788	
仁义之师	仁义之师	防御型防枪大师III	不动惊波 Lv.8	获胜奖励	30 +9	积分	2789	
仁义之师	仁义之师	防御型防枪大师III	不动惊波 Lv.6	获胜奖励	30 +9	积分	2790	
仁义之师	仁义之师	防御型防枪大师III	碧海连云 Lv.10	获胜奖励	30 +9	积分	2791	
仁义之师	仁义之师	防御型防枪大师III	碧海连云 Lv.8	获胜奖励	30 +9	积分	2792	
仁义之师	仁义之师	防御型防枪大师III	拔山盖世 Lv.8	获胜奖励	30 +9	积分	2793	
仁义之师	仁义之师	防御型防枪大师III	拔山盖世 Lv.6	获胜奖励	30 +9	积分	2794	
仁义之师	仁义之师	防御型防枪大师III	不动惊波 Lv.8	获胜奖励	30 +9	积分	2795	
